pairid,A-word,B-word,Jones2002,Jones2012,Paradis2009Elicit,Paradis2009Judge,deWeijer2012,LowFreq,Canonical,CorePair,WordNet,Ant-Type,Morpological,POS,WordNet-Has-Antonyms,A-WordNet-Antonym,B-WordNet-Antonym,A-WordNet-Synsets,B-WordNet-Synsets
60,masculine,feminine,y,n,n,n,n,n,n,y,y,complementary,n,adj,both,feminine,neuter;masculine;,4,5
61,narrow,wide,n,y,y,y,y,n,y,y,y,scalar-unbounded,n,adj,both,widen;wide;,narrow,10,11
63,natural,artificial,y,n,n,n,n,n,n,y,y,scalar-bounded,n,adj,both,unnatural;supernatural;artificial;sharp;,natural,13,3
66,old,new,y,n,n,n,n,n,n,y,y,scalar-unbounded,n,adj,both,new;young;,worn;old;,9,12
67,open,closed,n,y,y,n,y,n,n,y,y,scalar-bounded,n,adj,both,close;closed;shut;,open,36,26
70,optimistic,pessimistic,y,n,n,n,n,n,n,y,y,scalar-unbounded,n,adj,both,pessimistic,optimistic,2,1
74,public,private,y,n,n,n,n,n,n,y,y,complementary,n,adj,both,private,public,4,5
75,publicly,privately,y,n,n,n,n,n,n,y,y,complementary,n,adv,both,privately,publicly,2,2
76,quickly,slowly,y,n,n,n,n,n,n,y,y,scalar-unbounded,n,adv,both,slowly,quickly,3,2
77,rapid,slow,n,n,y,n,n,n,n,y,n,scalar-unbounded,n,adj,neither,none,fast,3,11
78,rare,common,n,n,y,n,n,n,n,y,n,scalar-unbounded,n,adj,neither,none,individual;uncommon;,6,10
80,reward,punishment,y,n,n,n,n,n,n,y,n,converse,n,noun,neither,penalty,none,8,1
81,rich,poor,y,y,y,n,y,n,n,y,y,scalar-unbounded,n,adj,both,lean;poor;,rich,13,7
82,right,wrong,y,n,n,n,y,n,n,y,y,complementary,n,adj,both,wrong;left;wrongly;,right,36,13
83,rightly,wrongly,y,n,n,n,n,n,n,y,n,complementary,n,adv,neither,none,right,1,2
84,rough,smooth,n,n,y,n,y,y,n,y,y,scalar-unbounded,n,adj,both,smooth,rough;roughen;,18,12
85,rural,urban,y,n,n,n,n,n,n,y,y,complementary,n,adj,both,urban,rural,2,2
86,sad,glad,n,n,y,n,n,n,n,y,y,scalar-unbounded,n,adj,both,glad,sad,3,5
89,slim,fat,n,n,y,n,n,n,n,y,n,scalar-unbounded,n,adj,neither,none,thin,3,9
90,strange,normal,n,n,n,n,y,y,n,y,n,scalar-unbounded,n,adj,neither,familiar,abnormal;paranormal;,3,5
91,strength,weakness,y,n,n,n,n,n,n,y,y,scalar-unbounded,n,noun,both,weakness,strength,9,5
92,strong,weak,n,y,y,y,y,n,y,y,y,scalar-unbounded,n,adj,both,weak,strong,10,12
93,style,substance,y,n,n,n,n,n,n,y,n,converse,n,noun,neither,none,none,12,7
94,succeed,fail,y,n,n,n,n,n,n,y,y,scalar-bounded,n,verb,both,fail;precede;,manage;pass;succeed;,2,11
95,success,failure,y,n,n,n,n,n,n,y,y,scalar-bounded,n,noun,both,failure,success,4,7
96,sudden,gradual,n,n,n,n,y,y,n,y,y,scalar-unbounded,n,adj,both,gradual,sudden;steep;,1,3
98,temporary,permanent,y,n,n,n,y,n,n,y,n,complementary,n,adj,neither,none,impermanent,3,3
99,thick,thin,n,y,y,y,y,n,y,y,y,scalar-unbounded,n,adj,both,thin,thicken;fat;full;thick;,13,13
100,tiny,enormous,n,n,y,n,n,n,n,y,n,scalar-unbounded,n,adj,neither,none,none,1,1
101,tiny,huge,n,n,y,n,n,n,n,y,n,scalar-unbounded,n,adj,neither,none,none,1,1
103,vague,clear,n,n,n,n,y,y,n,y,n,scalar-unbounded,n,adj,neither,none,bounce;cloudy;opaque;unclear;,3,45
104,war,peace,y,n,n,n,n,n,n,y,y,complementary,n,noun,both,make_peace;peace;,war,5,5
105,wealthy,poor,n,y,n,n,n,n,n,y,n,scalar-unbounded,n,adj,neither,none,rich,1,7
106,well,badly,y,n,n,n,n,n,n,y,y,scalar-unbounded,n,adv,both,ill;badly;,well,22,10
107,well,sick,n,n,y,n,n,n,n,y,n,scalar-unbounded,n,adj,neither,ill;badly;,none,22,9
108,wet,dry,y,n,n,n,y,n,n,y,y,scalar-bounded,n,adj,both,dry,sweet;wet;phlegmy;,9,19
110,win,lose,y,n,n,n,n,n,n,y,y,complementary,n,verb,both,lose,profit;keep;win;find;,6,11
111,young,old,y,n,y,n,y,n,n,y,y,scalar-unbounded,n,adj,both,aged;old;,new;young;,14,9
112,TRUE,FALSE,y,n,n,n,y,n,n,y,n,complementary,n,adj,neither,none,none,15,11
